Month,Agency,Ridership
2008-01-01,MNR,6453734
2008-02-01,MNR,6144377
2008-03-01,MNR,6602280
2008-04-01,B&T,24900328
2008-04-01,MNR,6787480
2008-05-01,B&T,26172575
2008-05-01,MNR,6840901
2008-06-01,B&T,25940107
2008-06-01,MNR,7008657
2008-07-01,B&T,26189384
2008-07-01,MNR,7298152
2008-08-01,B&T,26448624
2008-08-01,MNR,6826968
2008-09-01,B&T,24633191
2008-09-01,MNR,6833215
2008-10-01,B&T,25258664
2008-10-01,MNR,7322841
2008-11-01,B&T,23914201
2008-11-01,MNR,6357900
2008-12-01,B&T,24218648
2008-12-01,MNR,6989977
2009-01-01,B&T,22260909
2009-01-01,MNR,6176035
2009-02-01,B&T,21497488
2009-02-01,MNR,5731571
2009-03-01,B&T,24295234
2009-03-01,MNR,6593183
2009-04-01,B&T,24839950
2009-04-01,MNR,6600645
2009-05-01,B&T,26019431
2009-05-01,MNR,6387435
2009-06-01,B&T,25847929
2009-06-01,MNR,6864270
2009-07-01,B&T,26152065
2009-07-01,MNR,6830791
2009-08-01,B&T,26084323
2009-08-01,MNR,6392629
2009-09-01,B&T,24838705
2009-09-01,MNR,6511692
2009-10-01,B&T,25300215
2009-10-01,MNR,6788990
2009-11-01,B&T,23898100
2009-11-01,MNR,6336672
2009-12-01,B&T,23775856
2009-12-01,MNR,6761648
2010-01-01,B&T,22601000
2010-01-01,MNR,5935008
2010-02-01,B&T,19389016
2010-02-01,MNR,5572064
2010-03-01,B&T,24782495
2010-03-01,MNR,6769641
2010-04-01,B&T,24845798
2010-04-01,MNR,6675241
2010-05-01,B&T,26252605
2010-05-01,MNR,6580762
2010-06-01,B&T,26218749
2010-06-01,MNR,6992372
2010-07-01,B&T,26250587
2010-07-01,MNR,6832493
2010-08-01,B&T,26468484
2010-08-01,MNR,6747243
2010-09-01,B&T,24895673
2010-09-01,MNR,6693644
2010-10-01,B&T,25745102
2010-10-01,MNR,6867305
2010-11-01,B&T,24276731
2010-11-01,MNR,6654086
2010-12-01,B&T,23232917
2010-12-01,MNR,6924465
2011-01-01,B&T,20667163
2011-01-01,MNR,5916958
2011-02-01,B&T,20416996
2011-02-01,MNR,5685834
2011-03-01,B&T,24217298
2011-03-01,MNR,6896269
2011-04-01,B&T,23862645
2011-04-01,MNR,6648157
2011-05-01,B&T,25431952
2011-05-01,MNR,6788759
2011-06-01,B&T,25570907
2011-06-01,MNR,7164508
2011-07-01,B&T,25760847
2011-07-01,MNR,6854351
2011-08-01,B&T,24569331
2011-08-01,MNR,6551648
2011-09-01,B&T,24267823
2011-09-01,MNR,6860460
2011-10-01,B&T,24418354
2011-10-01,MNR,6945233
2011-11-01,B&T,23755837
2011-11-01,MNR,6851523
2011-12-01,B&T,23977111
2011-12-01,MNR,7201122
2012-01-01,B&T,22057316
2012-01-01,MNR,6419039
2012-02-01,B&T,21540526
2012-02-01,MNR,6265035
2012-03-01,B&T,24224899
2012-03-01,MNR,6994606
2012-04-01,B&T,23927256
2012-04-01,MNR,6831738
2012-05-01,B&T,25487361
2012-05-01,MNR,7094282
2012-06-01,B&T,25516755
2012-06-01,MNR,7121125
2012-07-01,B&T,25161554
2012-07-01,MNR,7062979
2012-08-01,B&T,25947715
2012-08-01,MNR,7192537
2012-09-01,B&T,24037363
2012-09-01,MNR,6618194
2012-10-01,B&T,23242718
2012-10-01,MNR,6639905
2012-11-01,B&T,21345408
2012-11-01,MNR,6211787
2012-12-01,B&T,23688503
2012-12-01,MNR,6901053
2013-01-01,B&T,22576303
2013-01-01,MNR,6559572
2013-02-01,B&T,20084319
2013-02-01,MNR,5883759
2013-03-01,B&T,23650309
2013-03-01,MNR,6827779
2013-04-01,B&T,23916180
2013-04-01,MNR,6973346
2013-05-01,B&T,25329798
2013-05-01,MNR,7061067
2013-06-01,B&T,25006128
2013-06-01,MNR,6959429
2013-07-01,B&T,25161936
2013-07-01,MNR,7156528
2013-08-01,B&T,25905144
2013-08-01,MNR,6995610
2013-09-01,B&T,24083596
2013-09-01,MNR,6659062
2013-10-01,B&T,25324457
2013-10-01,MNR,7243522
2013-11-01,B&T,23456183
2013-11-01,MNR,6614618
2013-12-01,B&T,23298003
2013-12-01,MNR,6927541
2014-01-01,B&T,21019162
2014-01-01,MNR,6398208
2014-02-01,B&T,18939446
2014-02-01,MNR,5846639
2014-03-01,B&T,23704780
2014-03-01,MNR,6684169
2014-04-01,B&T,24107629
2014-04-01,MNR,7018716
2014-05-01,B&T,25942604
